"comment_id","post_id","company_name","like_num","word_count","comment_count","unix_time","happy","angry","excited","sad","fear","bored"
"10154688034006078_10154689107196078","7003656077_10154688034006078","AmericanAirlines",3262,13,0,1503026280,0.014535979,0.770227869,0.013782244,0.109900053,0.055635977,0.035917879
"10154688034006078_10154689139511078","7003656077_10154688034006078","AmericanAirlines",3262,11,1,1503027363,0.426908178,0.094160246,0.332403611,0.039209179,0.107318785,0
"10154688034006078_10154689174691078","7003656077_10154688034006078","AmericanAirlines",3262,13,0,1503028182,0.255294809,0.163771701,0.189465241,0.111603125,0.137606787,0.142258337
"10154688034006078_10154689209051078","7003656077_10154688034006078","AmericanAirlines",3262,3,0,1503029414,0.021391296,0.497649743,0.023475754,0.235507426,0.171554894,0.050420887
"10154688034006078_10154689300401078","7003656077_10154688034006078","AmericanAirlines",3262,5,0,1503033558,0.414623007,0.021445672,0.400353802,0.02798284,0.107384292,0.028210388
"10154688034006078_10154689367141078","7003656077_10154688034006078","AmericanAirlines",3262,4,0,1503035770,0.473720234,0.152173917,0.233518018,0.015934471,0.098477206,0.026176154
"10154688034006078_10154689407001078","7003656077_10154688034006078","AmericanAirlines",3262,14,0,1503037588,0.003495195,0.816012639,0.004658461,0.064441752,0.041271192,0.070120762
"10154688034006078_10154689461241078","7003656077_10154688034006078","AmericanAirlines",3262,18,0,1503039766,0.055725282,0.677998829,0.03213181,0.103050807,0.077274301,0.053818971
"10154688034006078_10154689648466078","7003656077_10154688034006078","AmericanAirlines",3262,2,0,1503046751,0.54916958,0.036111974,0.255085971,0.063203174,0.071601534,0.024827767
"10154688034006078_10154689850971078","7003656077_10154688034006078","AmericanAirlines",3262,57,2,1503054837,0.1616028,0.13743624,0.096327368,0.443192351,0.134246016,0.027195224
"10154688034006078_10154689853256078","7003656077_10154688034006078","AmericanAirlines",3262,88,7,1503054942,0.034278372,0.445110555,0.057985785,0.198506387,0.109291313,0.154827589
"10154688034006078_10154689870996078","7003656077_10154688034006078","AmericanAirlines",3262,12,0,1503056174,0.266782821,0.147832912,0.095592283,0.183242383,0.14488928,0.161660323
"10154688034006078_10154690130416078","7003656077_10154688034006078","AmericanAirlines",3262,23,0,1503069892,0.069457349,0.412999405,0.092810046,0.23057746,0.162209597,0.031946144
"10154688034006078_10154690529016078","7003656077_10154688034006078","AmericanAirlines",3262,83,0,1503083882,0.043463808,0.374101439,0.066451961,0.306636139,0.13895368,0.070392974
"10154688034006078_10154690562101078","7003656077_10154688034006078","AmericanAirlines",3262,23,0,1503084725,0.012480943,0.265104336,0.027892762,0.450872303,0.226173476,0.017476179
"10154688034006078_10154690825511078","7003656077_10154688034006078","AmericanAirlines",3262,30,0,1503093053,0.069112033,0.472451885,0.071854451,0.233192516,0.10762985,0.045759265
"10154688034006078_10154690839466078","7003656077_10154688034006078","AmericanAirlines",3262,11,1,1503093458,0.415489535,0.048511619,0.277476079,0.166834503,0.067580959,0.024107305
"10154688034006078_10154690912696078","7003656077_10154688034006078","AmericanAirlines",3262,42,0,1503095875,0.079120443,0.394294609,0.113155877,0.222261124,0.146815725,0.044352222
"10154688034006078_10154690936541078","7003656077_10154688034006078","AmericanAirlines",3262,4,0,1503096563,0.269068446,0.192933706,0.297379431,0.087515068,0.153103348,0
"10154688034006078_10154690966836078","7003656077_10154688034006078","AmericanAirlines",3262,18,0,1503097528,0.133554035,0.094630433,0.155783021,0.214061873,0.366475158,0.03549548
"10154688034006078_10154691043111078","7003656077_10154688034006078","AmericanAirlines",3262,24,0,1503100286,0.003571378,0.724118706,0.002369097,0.171981372,0.070965949,0.026993499
"10154688034006078_10154691150996078","7003656077_10154688034006078","AmericanAirlines",3262,38,0,1503103859,0.272496525,0.184252334,0.185160852,0.160046225,0.151596192,0.046447872
"10154688034006078_10154691237941078","7003656077_10154688034006078","AmericanAirlines",3262,97,5,1503106630,0.102199303,0.196269777,0.089395451,0.330804547,0.197748005,0.083582917
"10154688034006078_10154691446046078","7003656077_10154688034006078","AmericanAirlines",3262,109,1,1503111938,0.061661221,0.370988733,0.140609,0.215933144,0.151880589,0.058927314
"10154688034006078_10154691567631078","7003656077_10154688034006078","AmericanAirlines",3262,2,0,1503115734,0.496610468,0.058313472,0.231567201,0.071358985,0.127145555,0.015004319
"10154688034006078_10154691688251078","7003656077_10154688034006078","AmericanAirlines",3262,161,0,1503120077,0.196432719,0.354037672,0.207458288,0.104712472,0.137358848,0
"10154688034006078_10154691749001078","7003656077_10154688034006078","AmericanAirlines",3262,6,0,1503121960,0.074852706,0.132452056,0.1012001,0.443941724,0.184256352,0.063297062
"10154688034006078_10154691872446078","7003656077_10154688034006078","AmericanAirlines",3262,29,0,1503126331,0.089278484,0.327036949,0.100630458,0.217092393,0.238044477,0.02791724
"10154688034006078_10154691892471078","7003656077_10154688034006078","AmericanAirlines",3262,111,1,1503126913,0.027968068,0.686356949,0.020418045,0.145015165,0.079749916,0.040491856
"10154688034006078_10154692883741078","7003656077_10154688034006078","AmericanAirlines",3262,9,0,1503167457,0.191274336,0.215471964,0.183993713,0.137620676,0.152569938,0.119069374
"10154688034006078_10154692890746078","7003656077_10154688034006078","AmericanAirlines",3262,45,0,1503167604,0.048819291,0.42278717,0.064210112,0.193039319,0.112739257,0.158404851
"10154688034006078_10154693328091078","7003656077_10154688034006078","AmericanAirlines",3262,5,0,1503178074,0.010495745,0.434712484,0.017104755,0.256880473,0.208557636,0.072248907
"10154688034006078_10154693328256078","7003656077_10154688034006078","AmericanAirlines",3262,1,0,1503178081,0.07960194,0.080471144,0.093150536,0.14195478,0.565107973,0.039713627
"10154688034006078_10154693328341078","7003656077_10154688034006078","AmericanAirlines",3262,3,0,1503178086,0.018185148,0.18822702,0.02560941,0.212876325,0.202319352,0.352782745
"10154688034006078_10154693447591078","7003656077_10154688034006078","AmericanAirlines",3262,8,0,1503181997,0.046188355,0.149313201,0.060403592,0.157157496,0.293392495,0.293544861
"10154688034006078_10154693544786078","7003656077_10154688034006078","AmericanAirlines",3262,21,0,1503185098,0.03288841,0.42048863,0.027345678,0.287475246,0.177929394,0.053872642
"10154688034006078_10154693800441078","7003656077_10154688034006078","AmericanAirlines",3262,97,0,1503193429,0.257453676,0.079195605,0.257234963,0.087417985,0.235307269,0.083390504
"10154688034006078_10154694073636078","7003656077_10154688034006078","AmericanAirlines",3262,39,0,1503200394,0.015489001,0.489392773,0.022008636,0.293186644,0.120472175,0.059450772
"10154688034006078_10154694142086078","7003656077_10154688034006078","AmericanAirlines",3262,27,0,1503202288,0.137801663,0.423243732,0.049985388,0.22348758,0.130915262,0.034566374
"10154688034006078_10154694367051078","7003656077_10154688034006078","AmericanAirlines",3262,6,0,1503208218,0.02296979,0.450533211,0.038033252,0.197934739,0.271138163,0.019390844
"10154688034006078_10154694397606078","7003656077_10154688034006078","AmericanAirlines",3262,49,0,1503209112,0.022489716,0.56873579,0.014833638,0.265651345,0.113343063,0.014946448
"10154688034006078_10154694412701078","7003656077_10154688034006078","AmericanAirlines",3262,10,0,1503209576,0.191274336,0.215471964,0.183993713,0.137620676,0.152569938,0.119069374
"10154688034006078_10154694468501078","7003656077_10154688034006078","AmericanAirlines",3262,61,0,1503211090,0.035045292,0.551830651,0.052810429,0.227001988,0.101277172,0.032034468
"10154688034006078_10154694727891078","7003656077_10154688034006078","AmericanAirlines",3262,17,0,1503222395,0.548509148,0.041099146,0.337733974,0.008579303,0.056647687,0.007430741
"10154688034006078_10154695139341078","7003656077_10154688034006078","AmericanAirlines",3262,3,0,1503243397,0.008266651,0.754883394,0.011463311,0.133473282,0.062615994,0.029297369
"10154688034006078_10154695202566078","7003656077_10154688034006078","AmericanAirlines",3262,39,0,1503246810,0.157792247,0.255133924,0.103660466,0.277765066,0.145923229,0.059725068
"10154688034006078_10154696311051078","7003656077_10154688034006078","AmericanAirlines",3262,98,0,1503280378,0.0200724,0.704323066,0.027239246,0.159392655,0.061334447,0.027638186
"10154688034006078_10154696519961078","7003656077_10154688034006078","AmericanAirlines",3262,20,0,1503285621,0.089243493,0.185242114,0.128809776,0.265871104,0.211620437,0.119213075
"10154688034006078_10154696680381078","7003656077_10154688034006078","AmericanAirlines",3262,38,0,1503290267,0.030537818,0.166651316,0.024779849,0.596597132,0.16324504,0.018188845
"10154688034006078_10154696809296078","7003656077_10154688034006078","AmericanAirlines",3262,6,0,1503292907,0.594522686,0.050766078,0.183374309,0.036042138,0.121381195,0.013913594
"10154688034006078_10154696983146078","7003656077_10154688034006078","AmericanAirlines",3262,121,0,1503298752,0.033429429,0.593401537,0.031233544,0.22045743,0.078423028,0.043055031
"10154688034006078_10154697154651078","7003656077_10154688034006078","AmericanAirlines",3262,13,0,1503307367,0.027160206,0.192678127,0.100873401,0.237831871,0.362426412,0.079029983
